sid,major,year,email
202060001,CSE,2,202060001@naver.com
202260002,CSE,2,202260002@naver.com
202260003,CSE,2,202260003@gmail.com
202160004,CSE,2,202160004@naver.com
202260005,CSE,2,202260005@naver.com
202260006,CSE,2,202260006@naver.com
202260007,CSE,2,202260007@naver.com
202160008,CSE,3,202160008@pusan.ac.kr
202260009,CSE,2,202260009@naver.com
202060010,CSE,2,202060010@gmail.com
202260011,CSE,2,202260011@naver.com
202260012,CSE,2,202260012@naver.com
202060013,CSE,2,202060013@naver.com
202260014,CSE,2,202260014@naver.com
202160015,CSE,2,202160015@naver.com
202060016,CSE,2,202060016@naver.com
202060017,CSE,2,202060017@naver.com
202260018,CSE,2,202260018@naver.com
202260019,CSE,2,202260019@naver.com
202260020,CSE,2,202260020@gmail.com
202060021,CSE,2,202060021@naver.com
202260022,CSE,2,202260022@naver.com
202260023,CSE,2,202260023@pusan.ac.kr
202160024,CSE,3,202160024@naver.com
202160025,CSE,2,202160025@naver.com
202060026,CSE,2,202060026@gmail.com
202260027,CSE,2,202260027@pusan.ac.kr
202260028,CSE,2,202260028@naver.com
202260029,CSE,2,202260029@gmail.com
202060030,CSE,2,202060030@naver.com
202260031,CSE,2,202260031@naver.com
202260032,CSE,2,202260032@naver.com
202060033,CSE,2,202060033@naver.com
201660034,CSE,4,201660034@naver.com
202060035,CSE,2,202060035@gmail.com
201660036,ARCH,4,201660036@naver.com
201960037,BIO,3,201960037@pusan.ac.kr
202060038,NAOE,2,202060038@naver.com
202060039,NAOE,2,202060039@naver.com
202060040,NAOE,2,202060040@gmail.com
201960041,ECE,3,201960041@gmail.com
201960042,ECE,2,201960042@naver.com
201960043,ECE,3,201960043@naver.com
201960044,ECE,3,201960044@naver.com
201960045,ECE,4,201960045@gmail.com
201960046,ECE,3,201960046@naver.com
201960047,ECE,3,201960047@naver.com
201960048,ECE,2,201960048@gmail.com
201960049,ECE,3,201960049@naver.com
201960050,ECE,3,201960050@naver.com
201660051,ECE,4,201660051@pusan.ac.kr
201960052,ECE,3,201960052@pusan.ac.kr
201860053,GS,4,201860053@gmail.com
202061001,CSE,2,202061001@naver.com
202261002,CSE,2,202261002@gmail.com
202061003,CSE,3,202061003@gmail.com
202261004,CSE,2,202261004@pusan.ac.kr
202061005,CSE,2,202061005@naver.com
201661006,CSE,2,201661006@gmail.com
202261007,CSE,2,202261007@gmail.com
202061008,CSE,2,202061008@pusan.ac.kr
202261009,CSE,2,202261009@naver.com
202061010,CSE,2,202061010@naver.com
202061011,CSE,4,202061011@pusan.ac.kr
202161012,CSE,2,202161012@gmail.com
202261013,CSE,2,202261013@pusan.ac.kr
202061014,CSE,4,202061014@gmail.com
202261015,CSE,2,202261015@naver.com
202061016,CSE,2,202061016@naver.com
202061017,CSE,3,202061017@pusan.ac.kr
202261018,CSE,2,202261018@gmail.com
202261019,CSE,2,202261019@gmail.com
202261020,CSE,2,202261020@naver.com
202261021,CSE,1,202261021@gmail.com
201861022,CSE,4,201861022@naver.com
202261023,CSE,2,202261023@gmail.com
202061024,CSE,3,202061024@gmail.com
202261025,CSE,2,202261025@naver.com
201861026,CSE,4,201861026@pusan.ac.kr
202261027,CSE,2,202261027@naver.com
202261028,CSE,2,202261028@hanmail.net
202261029,CSE,2,202261029@naver.com
202061030,CSE,2,202061030@gmail.com
202261031,CSE,1,202261031@outlook.com
202261032,CSE,2,202261032@gmail.com
201761033,GEO,4,201761033@naver.com
201961034,ECE,4,201961034@gmail.com
201861035,ECE,4,201861035@naver.com
201861036,ECE,4,201861036@naver.com
201761037,ECE,4,201761037@naver.com
201761038,ECE,4,201761038@pusan.ac.kr
201961039,ECE,3,201961039@gmail.com
201961040,ECE,2,201961040@naver.com
201761041,ECE,4,201761041@naver.com
201861042,ECE,4,201861042@naver.com
201861043,ECE,4,201861043@naver.com
201861044,ECE,3,201861044@naver.com
201761045,ECE,4,201761045@naver.com
201861046,ECE,4,201861046@gmail.com
201961047,ECE,4,201961047@mail.ru
202161048,CBE,2,202161048@naver.com
202161049,BIZ,3,202161049@naver.com
202062001,CSE,2,202062001@naver.com
202062002,CSE,2,202062002@pusan.ac.kr
202262003,CSE,2,202262003@naver.com
202262004,CSE,2,202262004@pusan.ac.kr
202062005,CSE,2,202062005@pusan.ac.kr
202262006,CSE,2,202262006@naver.com
202262007,CSE,2,202262007@naver.com
202162008,CSE,3,202162008@naver.com
202262009,CSE,2,202262009@pusan.ac.kr
202062010,CSE,2,202062010@pusan.ac.kr
202262011,CSE,2,202262011@gmail.com
202062012,CSE,2,202062012@naver.com
202062013,CSE,2,202062013@naver.com
202062014,CSE,2,202062014@naver.com
202262015,CSE,2,202262015@naver.com
202162016,CSE,2,202162016@naver.com
202262017,CSE,2,202262017@gmail.com
202262018,CSE,2,202262018@gmail.com
202262019,CSE,2,202262019@gmail.com
202262020,CSE,2,202262020@naver.com
202162021,CSE,3,202162021@naver.com
202262022,CSE,2,202262022@naver.com
202062023,CSE,4,202062023@naver.com
202062024,CSE,2,202062024@pusan.ac.kr
201862025,PHYS,4,201862025@gmail.com
201962026,ECE,3,201962026@naver.com
201862027,ECE,4,201862027@naver.com
201762028,ECE,3,201762028@gmail.com
201862029,ECE,4,201862029@naver.com
201962030,ECE,3,201962030@gmail.com
201862031,ECE,4,201862031@naver.com
201862032,ECE,4,201862032@pusan.ac.kr
201762033,ECE,4,201762033@naver.com
201962034,ECE,3,201962034@naver.com
201862035,ECE,4,201862035@naver.com
201862036,ECE,3,201862036@naver.com
201962037,ECE,3,201962037@pusan.ac.kr
